source_id	source_name	target_id	target_name	proximity
DOID:10652	Alzheimer's disease	DOID:14221	metabolic syndrome X	0.208082
DOID:10652	Alzheimer's disease	DOID:1936	atherosclerosis	0.167257
DOID:10652	Alzheimer's disease	DOID:1107	esophageal carcinoma	0.107093
DOID:10652	Alzheimer's disease	DOID:10286	prostate carcinoma	0.065227
DOID:10652	Alzheimer's disease	DOID:10871	age related macular degeneration	0.055209
DOID:10652	Alzheimer's disease	DOID:1749	squamous cell carcinoma	0.045090
DOID:10652	Alzheimer's disease	DOID:10941	intracranial aneurysm	0.027621
DOID:10652	Alzheimer's disease	DOID:5517	stomach carcinoma	0.025966
DOID:10652	Alzheimer's disease	DOID:3393	coronary artery disease	0.024621
DOID:10652	Alzheimer's disease	DOID:9352	type 2 diabetes mellitus	0.023444
DOID:10652	Alzheimer's disease	DOID:9970	obesity	0.015549
DOID:10652	Alzheimer's disease	DOID:3905	lung carcinoma	0.014302
DOID:10652	Alzheimer's disease	DOID:784	chronic kidney failure	0.013214
DOID:10652	Alzheimer's disease	DOID:8778	Crohn's disease	0.010077
DOID:10652	Alzheimer's disease	DOID:3459	breast carcinoma	0.009564
DOID:10652	Alzheimer's disease	DOID:6713	cerebrovascular disease	0.008701
DOID:10652	Alzheimer's disease	DOID:3910	lung adenocarcinoma	0.007872
DOID:10652	Alzheimer's disease	DOID:3620	central nervous system cancer	0.007502
DOID:10652	Alzheimer's disease	DOID:5419	schizophrenia	0.007183
DOID:10652	Alzheimer's disease	DOID:5844	myocardial infarction	0.007178
DOID:10652	Alzheimer's disease	DOID:9744	type 1 diabetes mellitus	0.007164
DOID:10652	Alzheimer's disease	DOID:10608	celiac disease	0.006207
DOID:10652	Alzheimer's disease	DOID:7148	rheumatoid arthritis	0.005406
DOID:10652	Alzheimer's disease	DOID:4001	ovarian carcinoma	0.005181
DOID:10652	Alzheimer's disease	DOID:1595	endogenous depression	0.005068
DOID:10652	Alzheimer's disease	DOID:1094	attention deficit hyperactivity disorder	0.005008
DOID:10652	Alzheimer's disease	DOID:12236	primary biliary cirrhosis	0.004754
DOID:10652	Alzheimer's disease	DOID:14330	Parkinson's disease	0.004699
DOID:10652	Alzheimer's disease	DOID:1686	glaucoma	0.004451
DOID:10652	Alzheimer's disease	DOID:7693	abdominal aortic aneurysm	0.004331
DOID:10652	Alzheimer's disease	DOID:0050156	idiopathic pulmonary fibrosis	0.004119
DOID:10652	Alzheimer's disease	DOID:3312	bipolar disorder	0.004114
DOID:10652	Alzheimer's disease	DOID:9296	cleft lip	0.004002
DOID:10652	Alzheimer's disease	DOID:8577	ulcerative colitis	0.003996
DOID:10652	Alzheimer's disease	DOID:2513	basal cell carcinoma	0.003900
DOID:10652	Alzheimer's disease	DOID:1067	open-angle glaucoma	0.003786
DOID:10652	Alzheimer's disease	DOID:11612	polycystic ovary syndrome	0.003585
DOID:10652	Alzheimer's disease	DOID:12306	vitiligo	0.003316
DOID:10652	Alzheimer's disease	DOID:2377	multiple sclerosis	0.003304
DOID:10652	Alzheimer's disease	DOID:2841	asthma	0.003272
DOID:10652	Alzheimer's disease	DOID:1040	chronic lymphocytic leukemia	0.003146
DOID:10652	Alzheimer's disease	DOID:11829	degenerative myopia	0.003047
DOID:10652	Alzheimer's disease	DOID:9074	systemic lupus erythematosus	0.002887
DOID:10652	Alzheimer's disease	DOID:4481	allergic rhinitis	0.002717
DOID:10652	Alzheimer's disease	DOID:1909	melanoma	0.002601
DOID:10652	Alzheimer's disease	DOID:2986	IgA glomerulonephritis	0.002393
DOID:10652	Alzheimer's disease	DOID:8893	psoriasis	0.002339
DOID:10652	Alzheimer's disease	DOID:1459	hypothyroidism	0.002329
DOID:10652	Alzheimer's disease	DOID:418	systemic scleroderma	0.002278
DOID:10652	Alzheimer's disease	DOID:12361	Graves' disease	0.002239
DOID:10652	Alzheimer's disease	DOID:10763	hypertension	0.002193
DOID:10652	Alzheimer's disease	DOID:986	alopecia areata	0.002090
DOID:10652	Alzheimer's disease	DOID:4007	bladder carcinoma	0.002010
DOID:10652	Alzheimer's disease	DOID:6364	migraine	0.001962
DOID:10652	Alzheimer's disease	DOID:3083	chronic obstructive pulmonary disease	0.001913
DOID:10652	Alzheimer's disease	DOID:12365	malaria	0.001866
DOID:10652	Alzheimer's disease	DOID:585	nephrolithiasis	0.001777
DOID:10652	Alzheimer's disease	DOID:7147	ankylosing spondylitis	0.001711
DOID:10652	Alzheimer's disease	DOID:4905	pancreatic carcinoma	0.001626
DOID:10652	Alzheimer's disease	DOID:8398	osteoarthritis	0.001582
DOID:10652	Alzheimer's disease	DOID:9538	multiple myeloma	0.001337
DOID:10652	Alzheimer's disease	DOID:13241	Behcet's disease	0.001288
DOID:10652	Alzheimer's disease	DOID:1826	epilepsy syndrome	0.001271
DOID:10652	Alzheimer's disease	DOID:3310	atopic dermatitis	0.001100
DOID:10652	Alzheimer's disease	DOID:3963	thyroid carcinoma	0.001053
DOID:10652	Alzheimer's disease	DOID:8567	Hodgkin's lymphoma	0.000999
DOID:10652	Alzheimer's disease	DOID:1024	leprosy	0.000977
DOID:10652	Alzheimer's disease	DOID:14268	sclerosing cholangitis	0.000969
DOID:10652	Alzheimer's disease	DOID:13378	Kawasaki disease	0.000949
DOID:10652	Alzheimer's disease	DOID:2468	psychotic disorder	0.000788
DOID:10652	Alzheimer's disease	DOID:4450	renal cell carcinoma	0.000670
DOID:10652	Alzheimer's disease	DOID:9008	psoriatic arthritis	0.000655
DOID:10652	Alzheimer's disease	DOID:13922	eosinophilic esophagitis	0.000538
DOID:10652	Alzheimer's disease	DOID:9835	refractive error	0.000396
DOID:10652	Alzheimer's disease	DOID:0050425	restless legs syndrome	0.000373
DOID:10652	Alzheimer's disease	DOID:8986	narcolepsy	0.000358
DOID:10652	Alzheimer's disease	DOID:5408	Paget's disease of bone	0.000354
DOID:10652	Alzheimer's disease	DOID:14227	azoospermia	0.000228
DOID:10652	Alzheimer's disease	DOID:11476	osteoporosis	0.000228
